Item,Quantity,Cost per Item ($),Total Cost ($),Amazon Link
USB Power Bank With Charger,1,21.99,21.99,https://www.amazon.com/Anker-325-PowerCore-Essential/dp/B09VPS5F91
Piezoelectric Transducers,56,9.99,9.99,https://www.amazon.com/Pzt-Piezoelectric-Ceramic-Ultrasonic-Transducer/dp/B0CJLZ8Z3Z
1N4007 Rectifier Diodes,16,5.49,5.49,https://www.amazon.com/Uxcell-1N4007-Rectifier-Electronic-Silicon/dp/B00HWUO4A2
22 Gauge Hookup Wire (6m),1,6.99,6.99,https://www.amazon.com/BINNEKER-Electric-Hook-Up-Stranded-Copper/dp/B0CGLZ9Z8S
Pair of Shoes,1,0,0,(User provided)
Hot Glue Gun With Hot Glue,1,12.99,12.99,https://www.amazon.com/Cowalt-Professional-Industrial-Temperature-Included/dp/B0D2GQ6V7V
Multimeter,1,14.99,14.99,https://www.amazon.com/AMTAST-Digital-Multimeter-Portable-Resistance/dp/B0D2GQ6V7V
Foam,1,12.95,12.95,https://www.amazon.com/Fabric-Empire-Upholstery-Medium-Cushion/dp/B01N7S0F4V
20cm x 25cm Polycarbonate Sheet,4,9.99,39.96,https://www.amazon.com/SABIC-Polycarbonate-Sheet-Transparent-Thickness/dp/B09Q5Z8V7B
Electrical Tape,1,4.99,4.99,https://www.amazon.com/Scotch-Electrical-Professional-Grade-1-Inch/dp/B00004WCCL
Soldering Iron With Solder,1,19.99,19.99,https://www.amazon.com/BILIPLE-Soldering-Adjustable-Temperature-Multimeter/dp/B0D2GQ6V7V
Circuit (custom),1,0,0,(User provided)
100n Capacitor,1,6.49,6.49,https://www.amazon.com/Cermant-100Pcs-Ceramic-Capacitor-Electronic/dp/B0CGLZ9Z8S

TOTAL COST (Items Only),, ,157.82,
TOTAL COST (With Shipping),, ,157.82,
